sutra,adhyaya,pada,num,text_slp1,text_iast,text_deva,kashika_available
1.1.28,1,1,28,viBAzA diksamAse bahuvrIhO,vibhāṣā diksamāse bahuvrīhau,विभाषा दिक्समासे बहुव्रीहौ,no
1.1.29,1,1,29,na bahuvrIhO,na bahuvrīhau,न बहुव्रीहौ,no
1.1.30,1,1,30,tftIyAsamAse,tṛtīyāsamāse,तृतीयासमासे,no
1.1.31,1,1,31,dvandve ca,dvandve ca,द्वन्द्वे च,no
1.1.32,1,1,32,viBAzA jasi,vibhāṣā jasi,विभाषा जसि,no
1.1.33,1,1,33,praTamacaramatayAlpArDakatipayanemASca,prathamacaramatayālpārdhakatipayanemāśca,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,no
1.1.34,1,1,34,pUrvaparAvaradakziRottarAparADarARi vyavasTAyAmasaMjYAyAm,pūrvaparāvaradakṣiṇottarāparādharāṇi vyavasthāyāmasaṃjñāyām,पूर्वपरावरदक्षिणोत्तरापराधराणि व्यवस्थायामसंज्ञायाम्,no
1.1.35,1,1,35,svamajYAtiDanAKyAyAm,svamajñātidhanākhyāyām,स्वमज्ञातिधनाख्यायाम्,no
1.1.36,1,1,36,antaraM bahiryogopasaMvyAnayoH,antaraṃ bahiryogopasaṃvyānayoḥ,अन्तरं बहिर्योगोपसंव्यानयोः,no
1.1.37,1,1,37,svarAdinipAtamavyayam,svarādinipātamavyayam,स्वरादिनिपातमव्ययम्,no
1.1.38,1,1,38,tadDitaScAsarvaviBaktiH,taddhitaścāsarvavibhaktiḥ,तद्धितश्चासर्वविभक्तिः,no
1.1.39,1,1,39,kfnmejantaH,kṛnmejantaḥ,कृन्मेजन्तः,no
1.1.40,1,1,40,ktvAtosunkasunaH,ktvātosunkasunaḥ,क्त्वातोसुन्कसुनः,no
1.1.41,1,1,41,avyayIBAvaSca,avyayībhāvaśca,अव्ययीभावश्च,no
1.1.42,1,1,42,Si sarvanAmasTAnam,śi sarvanāmasthānam,शि सर्वनामस्थानम्,no
1.1.43,1,1,43,suqanapuMsakasya,suḍanapuṃsakasya,सुडनपुंसकस्य,no
1.1.44,1,1,44,na veti viBAzA,na veti vibhāṣā,न वेति विभाषा,no
1.1.45,1,1,45,igyaRaH samprasAraRam,igyaṇaḥ samprasāraṇam,इग्यणः सम्प्रसारणम्,no
1.1.46,1,1,46,AdyantO wakitO,ādyantau ṭakitau,आद्यन्तौ टकितौ,no
1.1.47,1,1,47,midaco'ntyAtparaH,midaco'ntyātparaḥ,मिदचोऽन्त्यात्परः,no
1.1.48,1,1,48,eca igGrasvAdeSe,eca igghrasvādeśe,एच इग्घ्रस्वादेशे,no
1.1.49,1,1,49,zazWI sTAneyogA,ṣaṣṭhī sthāneyogā,षष्ठी स्थानेयोगा,no
1.1.50,1,1,50,sTAne'ntaratamaH,sthāne'ntaratamaḥ,स्थानेऽन्तरतमः,no
1.1.51,1,1,51,uraR raparaH,uraṇ raparaḥ,उरण् रपरः,no
1.1.52,1,1,52,alo'ntyasya,alo'ntyasya,अलोऽन्त्यस्य,no
1.1.53,1,1,53,Nicca,ṅicca,ङिच्च,no
1.1.54,1,1,54,AdeH parasya,ādeḥ parasya,आदेः परस्य,no
1.1.55,1,1,55,anekAlSitsarvasya,anekālśitsarvasya,अनेकाल्शित्सर्वस्य,no
1.1.56,1,1,56,sTAnivadAdeSo'nalviDO,sthānivadādeśo'nalvidhau,स्थानिवदादेशोऽनल्विधौ,no
1.1.57,1,1,57,acaH parasmin pUrvaviDO,acaḥ parasmin pūrvavidhau,अचः परस्मिन् पूर्वविधौ,no
1.1.58,1,1,58,na padAntadvirvacanavareyalopasvarasavarRAnusvAradIrGajaScarviDizu,na padāntadvirvacanavareyalopasvarasavarṇānusvāradīrghajaścarvidhiṣu,न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु,no
1.1.59,1,1,59,dvirvacane'ci,dvirvacane'ci,द्विर्वचनेऽचि,no
1.1.60,1,1,60,adarSanaM lopaH,adarśanaṃ lopaḥ,अदर्शनं लोपः,no
1.1.61,1,1,61,pratyayasya lukSlulupaH,pratyayasya lukślulupaḥ,प्रत्ययस्य लुक्श्लुलुपः,no
1.1.62,1,1,62,pratyayalope pratyayalakzaRam,pratyayalope pratyayalakṣaṇam,प्रत्ययलोपे प्रत्ययलक्षणम्,no
1.1.63,1,1,63,na lumatANgasya,na lumatāṅgasya,न लुमताङ्गस्य,no
1.1.64,1,1,64,aco'ntyAdi wi,aco'ntyādi ṭi,अचोऽन्त्यादि टि,no
1.1.65,1,1,65,alo'ntyAt pUrva upaDA,alo'ntyāt pūrva upadhā,अलोऽन्त्यात् पूर्व उपधा,no
1.1.66,1,1,66,tasminniti nirdizwe pUrvasya,tasminniti nirdiṣṭe pūrvasya,तस्मिन्निति निर्दिष्टे पूर्वस्य,no
1.1.67,1,1,67,tasmAdityuttarasya,tasmādityuttarasya,तस्मादित्युत्तरस्य,no
1.1.68,1,1,68,svaM rUpaM SabdasyASabdasaMjYA,svaṃ rūpaṃ śabdasyāśabdasaṃjñā,स्वं रूपं शब्दस्याशब्दसंज्ञा,no
1.1.69,1,1,69,aRudit savarRasya cApratyayaH,aṇudit savarṇasya cāpratyayaḥ,अणुदित् सवर्णस्य चाप्रत्ययः,no
1.1.70,1,1,70,taparastatkAlasya,taparastatkālasya,तपरस्तत्कालस्य,no
1.1.71,1,1,71,Adirantyena sahetA,ādirantyena sahetā,आदिरन्त्येन सहेता,no
1.1.72,1,1,72,yena viDistadantasya,yena vidhistadantasya,येन विधिस्तदन्तस्य,no
1.1.73,1,1,73,vfdDiryasyAcAmAdistad vfdDam,vṛddhiryasyācāmādistad vṛddham,वृद्धिर्यस्याचामादिस्तद् वृद्धम्,no
1.1.74,1,1,74,tyadAdIni ca,tyadādīni ca,त्यदादीनि च,no
1.1.75,1,1,75,eN prAcAM deSe,eṅ prācāṃ deśe,एङ् प्राचां देशे,no
1.2.1,1,2,1,gANkuwAdiByo'YRinNit,gāṅkuṭādibhyo'ñṇinṅit,गाङ्कुटादिभ्योऽञ्णिन्ङित्,no
1.2.2,1,2,2,vija iw,vija iṭ,विज इट्,no
1.2.3,1,2,3,viBAzorRoH,vibhāṣorṇoḥ,विभाषोर्णोः,no
1.2.4,1,2,4,sArvaDAtukamapit,sārvadhātukamapit,सार्वधातुकमपित्,no
1.2.5,1,2,5,asaMyogAlliw kit,asaṃyogālliṭ kit,असंयोगाल्लिट् कित्,no
1.2.6,1,2,6,inDiBavatiByAM ca,indhibhavatibhyāṃ ca,इन्धिभवतिभ्यां च,no
1.2.7,1,2,7,mfqamfdaguDakuzakliSavadavasaH ktvA,mṛḍamṛdagudhakuṣakliśavadavasaḥ ktvā,मृडमृदगुधकुषक्लिशवदवसः क्त्वा,no
1.2.8,1,2,8,rudavidamuzagrahisvapipracCaH sa~Sca,rudavidamuṣagrahisvapipracchaḥ sa~śca,रुदविदमुषग्रहिस्वपिप्रच्छः स~श्च,no
1.2.9,1,2,9,iko Jal,iko jhal,इको झल्,no
1.2.10,1,2,10,halantAcca,halantācca,हलन्ताच्च,no
1.2.11,1,2,11,liNsicAvAtmanepadezu,liṅsicāvātmanepadeṣu,लिङ्सिचावात्मनेपदेषु,no
1.2.12,1,2,12,uSca,uśca,उश्च,no
1.2.13,1,2,13,vA gamaH,vā gamaḥ,वा गमः,no
1.2.14,1,2,14,hanaH sic,hanaḥ sic,हनः सिच्,no
1.2.15,1,2,15,yamo ganDane,yamo gandhane,यमो गन्धने,no
1.2.16,1,2,16,viBAzopayamane,vibhāṣopayamane,विभाषोपयमने,no
1.2.17,1,2,17,sTA Gvoricca,sthā ghvoricca,स्था घ्वोरिच्च,no
1.2.18,1,2,18,na ktvA sew,na ktvā seṭ,न क्त्वा सेट्,no
1.2.19,1,2,19,nizWA SINsvidimidikzvidiDfzaH,niṣṭhā śīṅsvidimidikṣvididhṛṣaḥ,निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः,no
1.2.20,1,2,20,mfzastitikzAyAm,mṛṣastitikṣāyām,मृषस्तितिक्षायाम्,no
1.2.21,1,2,21,udupaDAdBAvAdikarmaRoranyatarasyAm,udupadhādbhāvādikarmaṇoranyatarasyām,उदुपधाद्भावादिकर्मणोरन्यतरस्याम्,no
1.2.22,1,2,22,pUNaH ktvA ca,pūṅaḥ ktvā ca,पूङः क्त्वा च,no
1.2.23,1,2,23,nopaDAtTaPAntAdvA,nopadhātthaphāntādvā,नोपधात्थफान्ताद्वा,no
1.2.24,1,2,24,vaYciluYcyftaSca,vañciluñcyṛtaśca,वञ्चिलुञ्च्यृतश्च,no
1.2.25,1,2,25,tfzimfzikfSeH kASyapasya,tṛṣimṛṣikṛśeḥ kāśyapasya,तृषिमृषिकृशेः काश्यपस्य,no
1.2.26,1,2,26,ralo vyupaDAdDalAdeH saMSca,ralo vyupadhāddhalādeḥ saṃśca,रलो व्युपधाद्धलादेः संश्च,no
1.2.27,1,2,27,UkAlo'jJrasvadIrGaplutaH,ūkālo'jjhrasvadīrghaplutaḥ,ऊकालोऽज्झ्रस्वदीर्घप्लुतः,no
1.2.28,1,2,28,acaSca,acaśca,अचश्च,no
1.2.29,1,2,29,uccErudAttaH,uccairudāttaḥ,उच्चैरुदात्तः,no
1.2.30,1,2,30,nIcEranudAttaH,nīcairanudāttaḥ,नीचैरनुदात्तः,no
1.2.31,1,2,31,samAhAraH svaritaH,samāhāraḥ svaritaḥ,समाहारः स्वरितः,no
1.2.32,1,2,32,tasyAdita udAttamarDahrasvam,tasyādita udāttamardhahrasvam,तस्यादित उदात्तमर्धह्रस्वम्,no
1.2.33,1,2,33,ekaSruti dUrAt sambudDO,ekaśruti dūrāt sambuddhau,एकश्रुति दूरात् सम्बुद्धौ,no
1.2.34,1,2,34,yajYakarmaRyajapanyUNKasAmasu,yajñakarmaṇyajapanyūṅkhasāmasu,यज्ञकर्मण्यजपन्यूङ्खसामसु,no
1.2.35,1,2,35,uccEstarAM vA vazawkAraH,uccaistarāṃ vā vaṣaṭkāraḥ,उच्चैस्तरां वा वषट्कारः,no
1.2.36,1,2,36,viBAzA Candasi,vibhāṣā chandasi,विभाषा छन्दसि,no
1.2.37,1,2,37,na subrahmaRyAyAM svaritasya tUdAttaH,na subrahmaṇyāyāṃ svaritasya tūdāttaḥ,न सुब्रह्मण्यायां स्वरितस्य तूदात्तः,no
1.2.38,1,2,38,devabrahmaRoranudAttaH,devabrahmaṇoranudāttaḥ,देवब्रह्मणोरनुदात्तः,no
1.2.39,1,2,39,svaritAt saMhitAyAmanudAttAnAm,svaritāt saṃhitāyāmanudāttānām,स्वरितात् संहितायामनुदात्तानाम्,no
1.2.40,1,2,40,udAttasvaritaparasya sannataraH,udāttasvaritaparasya sannataraḥ,उदात्तस्वरितपरस्य सन्नतरः,no
1.2.41,1,2,41,apfkta ekAl pratyayaH,apṛkta ekāl pratyayaḥ,अपृक्त एकाल् प्रत्ययः,no
1.2.42,1,2,42,tatpuruzaH samAnADikaraRaH karmaDArayaH,tatpuruṣaḥ samānādhikaraṇaḥ karmadhārayaḥ,तत्पुरुषः समानाधिकरणः कर्मधारयः,no
1.2.43,1,2,43,praTamAnirdizwaM samAsa upasarjanam,prathamānirdiṣṭaṃ samāsa upasarjanam,प्रथमानिर्दिष्टं समास उपसर्जनम्,no
1.2.44,1,2,44,ekaviBakti cApUrvanipAte,ekavibhakti cāpūrvanipāte,एकविभक्ति चापूर्वनिपाते,no
1.2.45,1,2,45,arTavadaDAturapratyayaH prAtipadikam,arthavadadhāturapratyayaḥ prātipadikam,अर्थवदधातुरप्रत्ययः प्रातिपदिकम्,no
1.2.46,1,2,46,kfttadDitasamAsASca,kṛttaddhitasamāsāśca,कृत्तद्धितसमासाश्च,no
1.2.47,1,2,47,hrasvo napuMsake prAtipadikasya,hrasvo napuṃsake prātipadikasya,ह्रस्वो नपुंसके प्रातिपदिकस्य,no
1.2.48,1,2,48,gostriyorupasarjanasya,gostriyorupasarjanasya,गोस्त्रियोरुपसर्जनस्य,no
1.2.49,1,2,49,luk tadDitaluki,luk taddhitaluki,लुक् तद्धितलुकि,no
1.2.50,1,2,50,idgoRyAH,idgoṇyāḥ,इद्गोण्याः,no
1.2.51,1,2,51,lupi yuktavadvyaktivacane,lupi yuktavadvyaktivacane,लुपि युक्तवद्व्यक्तिवचने,no
1.2.52,1,2,52,viSezaRAnAM cAjAteH,viśeṣaṇānāṃ cājāteḥ,विशेषणानां चाजातेः,no
1.2.53,1,2,53,tadaSizyaM saMjYApramARatvAt,tadaśiṣyaṃ saṃjñāpramāṇatvāt,तदशिष्यं संज्ञाप्रमाणत्वात्,no
1.2.54,1,2,54,lubyogApraKyAnAt,lubyogāprakhyānāt,लुब्योगाप्रख्यानात्,no
1.2.55,1,2,55,yogapramARe ca tadaBAve'darSanaM syAt,yogapramāṇe ca tadabhāve'darśanaṃ syāt,योगप्रमाणे च तदभावेऽदर्शनं स्यात्,no
1.2.56,1,2,56,praDAnapratyayArTavacanamarTasyAnyapramARatvAt,pradhānapratyayārthavacanamarthasyānyapramāṇatvāt,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्,no
1.2.57,1,2,57,kAlopasarjane ca tulyam,kālopasarjane ca tulyam,कालोपसर्जने च तुल्यम्,no
1.2.58,1,2,58,jAtyAKyAyAmekasmin bahuvacanamanyatarasyAm,jātyākhyāyāmekasmin bahuvacanamanyatarasyām,जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्,no
1.2.59,1,2,59,asmado dvayoSca,asmado dvayośca,अस्मदो द्वयोश्च,no
1.2.60,1,2,60,PalgunIprozWapadAnAM ca nakzatre,phalgunīproṣṭhapadānāṃ ca nakṣatre,फल्गुनीप्रोष्ठपदानां च नक्षत्रे,no
1.2.61,1,2,61,Candasi punarvasvorekavacanam,chandasi punarvasvorekavacanam,छन्दसि पुनर्वस्वोरेकवचनम्,no
1.2.62,1,2,62,viSAKayoSca,viśākhayośca,विशाखयोश्च,no
1.2.63,1,2,63,tizyapunarvasvornakzatradvandve bahuvacanasya dvivacanaM nityam,tiṣyapunarvasvornakṣatradvandve bahuvacanasya dvivacanaṃ nityam,तिष्यपुनर्वस्वोर्नक्षत्रद्वन्द्वे बहुवचनस्य द्विवचनं नित्यम्,no
1.2.64,1,2,64,sarUpARAmekaSeza ekaviBaktO,sarūpāṇāmekaśeṣa ekavibhaktau,सरूपाणामेकशेष एकविभक्तौ,no
1.2.65,1,2,65,vfdDo yUnA tallakzaRaScedeva viSezaH,vṛddho yūnā tallakṣaṇaścedeva viśeṣaḥ,वृद्धो यूना तल्लक्षणश्चेदेव विशेषः,no
1.2.66,1,2,66,strI puMvacca,strī puṃvacca,स्त्री पुंवच्च,no
1.2.67,1,2,67,pumAn striyA,pumān striyā,पुमान् स्त्रिया,no
1.2.68,1,2,68,BrAtfputrO svasfduhitfByAm,bhrātṛputrau svasṛduhitṛbhyām,भ्रातृपुत्रौ स्वसृदुहितृभ्याम्,no
1.2.69,1,2,69,napuMsakamanapuMsakenEkavaccAsyAnyatarasyAm,napuṃsakamanapuṃsakenaikavaccāsyānyatarasyām,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्,no
1.2.70,1,2,70,pitA mAtrA,pitā mātrā,पिता मात्रा,no
1.2.71,1,2,71,SvaSuraH SvaSrvA,śvaśuraḥ śvaśrvā,श्वशुरः श्वश्र्वा,no
1.2.72,1,2,72,tyadAdIni sarvErnityam,tyadādīni sarvairnityam,त्यदादीनि सर्वैर्नित्यम्,no
1.2.73,1,2,73,grAmyapaSusaMGezvataruRezu strI,grāmyapaśusaṃgheṣvataruṇeṣu strī,ग्राम्यपशुसंघेष्वतरुणेषु स्त्री,no
1.3.1,1,3,1,BUvAdayo DAtavaH,bhūvādayo dhātavaḥ,भूवादयो धातवः,no
1.3.2,1,3,2,upadeSe'janunAsika it,upadeśe'janunāsika it,उपदेशेऽजनुनासिक इत्,no
1.3.3,1,3,3,halantyam,halantyam,हलन्त्यम्,no
1.3.4,1,3,4,na viBaktO tusmAH,na vibhaktau tusmāḥ,न विभक्तौ तुस्माः,no
1.3.5,1,3,5,AdirYiwuqavaH,ādirñiṭuḍavaḥ,आदिर्ञिटुडवः,no
1.3.6,1,3,6,zaH pratyayasya,ṣaḥ pratyayasya,षः प्रत्ययस्य,no
1.3.7,1,3,7,cuwU,cuṭū,चुटू,no
1.3.8,1,3,8,laSakvatadDite,laśakvataddhite,लशक्वतद्धिते,no
1.3.9,1,3,9,tasya lopaH,tasya lopaḥ,तस्य लोपः,no
1.3.10,1,3,10,yaTAsaMKyamanudeSaH samAnAm,yathāsaṃkhyamanudeśaḥ samānām,यथासंख्यमनुदेशः समानाम्,no
1.3.11,1,3,11,svaritenADikAraH,svaritenādhikāraḥ,स्वरितेनाधिकारः,no
1.3.12,1,3,12,anudAttaNita Atmanepadam,anudāttaṅita ātmanepadam,अनुदात्तङित आत्मनेपदम्,no
1.3.13,1,3,13,BAvakarmaRoH,bhāvakarmaṇoḥ,भावकर्मणोः,no
1.3.14,1,3,14,kartari karmavyatihAre,kartari karmavyatihāre,कर्तरि कर्मव्यतिहारे,no
1.3.15,1,3,15,na gatihiMsArTeByaH,na gatihiṃsārthebhyaḥ,न गतिहिंसार्थेभ्यः,no
1.3.16,1,3,16,itaretarAnyonyopapadAcca,itaretarānyonyopapadācca,इतरेतरान्योन्योपपदाच्च,no
1.3.17,1,3,17,nerviSaH,nerviśaḥ,नेर्विशः,no
1.3.18,1,3,18,parivyaveByaH kriyaH,parivyavebhyaḥ kriyaḥ,परिव्यवेभ्यः क्रियः,no
1.3.19,1,3,19,viparAByAM jeH,viparābhyāṃ jeḥ,विपराभ्यां जेः,no
1.3.20,1,3,20,ANo do'nAsyaviharaRe,āṅo do'nāsyaviharaṇe,आङो दोऽनास्यविहरणे,no
1.3.21,1,3,21,krIqo'nusampariByaSca,krīḍo'nusamparibhyaśca,क्रीडोऽनुसम्परिभ्यश्च,no
1.3.22,1,3,22,samavapraviByaH sTaH,samavapravibhyaḥ sthaḥ,समवप्रविभ्यः स्थः,no
1.3.23,1,3,23,prakASanasTeyAKyayoSca,prakāśanastheyākhyayośca,प्रकाशनस्थेयाख्ययोश्च,no
1.3.24,1,3,24,udo'nUrDvakarmaRi,udo'nūrdhvakarmaṇi,उदोऽनूर्ध्वकर्मणि,no
1.3.25,1,3,25,upAnmantrakaraRe,upānmantrakaraṇe,उपान्मन्त्रकरणे,no
1.3.26,1,3,26,akarmakAcca,akarmakācca,अकर्मकाच्च,no
1.3.27,1,3,27,udviByAM tapaH,udvibhyāṃ tapaḥ,उद्विभ्यां तपः,no
1.3.28,1,3,28,ANo yamahanaH,āṅo yamahanaḥ,आङो यमहनः,no
1.3.29,1,3,29,samo gamyfcCipracCisvaratyartiSruvidiByaH,samo gamyṛcchipracchisvaratyartiśruvidibhyaḥ,समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः,no
1.3.30,1,3,30,nisamupaviByo hvaH,nisamupavibhyo hvaḥ,निसमुपविभ्यो ह्वः,no
1.3.31,1,3,31,spardDAyAmANaH,sparddhāyāmāṅaḥ,स्पर्द्धायामाङः,no
1.3.32,1,3,32,ganDanAvakzepaRasevanasAhasikyapratiyatnaprakaTanopayogezu kfYaH,gandhanāvakṣepaṇasevanasāhasikyapratiyatnaprakathanopayogeṣu kṛñaḥ,गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः,no
1.3.33,1,3,33,aDeH prasahane,adheḥ prasahane,अधेः प्रसहने,no
1.3.34,1,3,34,veH SabdakarmaRaH,veḥ śabdakarmaṇaḥ,वेः शब्दकर्मणः,no
1.3.35,1,3,35,akarmakAcca,akarmakācca,अकर्मकाच्च,no
1.3.36,1,3,36,sammAnanotsaYjanAcAryakaraRajYAnaBftivigaRanavyayezu niyaH,sammānanotsañjanācāryakaraṇajñānabhṛtivigaṇanavyayeṣu niyaḥ,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः,no
1.3.37,1,3,37,kartfsTe cASarIre karmaRi,kartṛsthe cāśarīre karmaṇi,कर्तृस्थे चाशरीरे कर्मणि,no
1.3.38,1,3,38,vfttisargatAyanezu kramaH,vṛttisargatāyaneṣu kramaḥ,वृत्तिसर्गतायनेषु क्रमः,no
1.3.39,1,3,39,upaparAByAm,upaparābhyām,उपपराभ्याम्,no
1.3.40,1,3,40,ANa udgamane,āṅa udgamane,आङ उद्गमने,no
1.3.41,1,3,41,veH pAdaviharaRe,veḥ pādaviharaṇe,वेः पादविहरणे,no
1.3.42,1,3,42,propAByAM samarTAByAm,propābhyāṃ samarthābhyām,प्रोपाभ्यां समर्थाभ्याम्,no
1.3.43,1,3,43,anupasargAdvA,anupasargādvā,अनुपसर्गाद्वा,no
1.3.44,1,3,44,apahnave jYaH,apahnave jñaḥ,अपह्नवे ज्ञः,no
1.3.45,1,3,45,akarmakAcca,akarmakācca,अकर्मकाच्च,no
1.3.46,1,3,46,sampratiByAmanADyAne,sampratibhyāmanādhyāne,सम्प्रतिभ्यामनाध्याने,no
1.3.47,1,3,47,BAsanopasamBAzAjYAnayatnavimatyupamantraRezu vadaH,bhāsanopasambhāṣājñānayatnavimatyupamantraṇeṣu vadaḥ,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः,no
1.3.48,1,3,48,vyaktavAcAM samuccAraRe,vyaktavācāṃ samuccāraṇe,व्यक्तवाचां समुच्चारणे,no
1.3.49,1,3,49,anorakarmakAt,anorakarmakāt,अनोरकर्मकात्,no
1.3.50,1,3,50,viBAzA vipralApe,vibhāṣā vipralāpe,विभाषा विप्रलापे,no
1.3.51,1,3,51,avAdgraH,avādgraḥ,अवाद्ग्रः,no
1.3.52,1,3,52,samaH pratijYAne,samaḥ pratijñāne,समः प्रतिज्ञाने,no
1.3.53,1,3,53,udaScaraH sakarmakAt,udaścaraḥ sakarmakāt,उदश्चरः सकर्मकात्,no
1.3.54,1,3,54,samastftIyAyuktAt,samastṛtīyāyuktāt,समस्तृतीयायुक्तात्,no
1.3.55,1,3,55,dARaSca sA ceccaturTyarTe,dāṇaśca sā ceccaturthyarthe,दाणश्च सा चेच्चतुर्थ्यर्थे,no
1.3.56,1,3,56,upAdyamaH svakaraRe,upādyamaḥ svakaraṇe,उपाद्यमः स्वकरणे,no
1.3.57,1,3,57,jYASrusmfdfSAM sanaH,jñāśrusmṛdṛśāṃ sanaḥ,ज्ञाश्रुस्मृदृशां सनः,no
1.3.58,1,3,58,nAnorjYaH,nānorjñaḥ,नानोर्ज्ञः,no
1.3.59,1,3,59,pratyANByAM SruvaH,pratyāṅbhyāṃ śruvaḥ,प्रत्याङ्भ्यां श्रुवः,no
1.3.60,1,3,60,SadeH SitaH,śadeḥ śitaḥ,शदेः शितः,no
1.3.61,1,3,61,mriyaterluNliNoSca,mriyaterluṅliṅośca,म्रियतेर्लुङ्लिङोश्च,no
1.3.62,1,3,62,pUrvavat sanaH,pūrvavat sanaḥ,पूर्ववत् सनः,no
1.3.63,1,3,63,Ampratyayavat kfYo'nuprayogasya,āmpratyayavat kṛño'nuprayogasya,आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,no
1.3.64,1,3,64,propAByAM yujerayajYapAtrezu,propābhyāṃ yujerayajñapātreṣu,प्रोपाभ्यां युजेरयज्ञपात्रेषु,no
1.3.65,1,3,65,samaH kzRuvaH,samaḥ kṣṇuvaḥ,समः क्ष्णुवः,no
1.3.66,1,3,66,Bujo'navane,bhujo'navane,भुजोऽनवने,no
1.3.67,1,3,67,ReraRO yatkarma RO cet sa kartA'nADyAne,ṇeraṇau yatkarma ṇau cet sa kartā'nādhyāne,णेरणौ यत्कर्म णौ चेत् स कर्ताऽनाध्याने,no
1.3.68,1,3,68,BIsmyorhetuBaye,bhīsmyorhetubhaye,भीस्म्योर्हेतुभये,no
1.3.69,1,3,69,gfDivaYcyoH pralamBane,gṛdhivañcyoḥ pralambhane,गृधिवञ्च्योः प्रलम्भने,no
1.3.70,1,3,70,liyaH sammAnanaSAlInIkaraRayoSca,liyaḥ sammānanaśālīnīkaraṇayośca,लियः सम्माननशालीनीकरणयोश्च,no
1.3.71,1,3,71,miTyopapadAt kfYo'ByAse,mithyopapadāt kṛño'bhyāse,मिथ्योपपदात् कृञोऽभ्यासे,no
1.3.72,1,3,72,svaritaYitaH kartraBiprAye kriyAPale,svaritañitaḥ kartrabhiprāye kriyāphale,स्वरितञितः कर्त्रभिप्राये क्रियाफले,no
1.3.73,1,3,73,apAdvadaH,apādvadaḥ,अपाद्वदः,no
1.3.74,1,3,74,RicaSca,ṇicaśca,णिचश्च,no
1.3.75,1,3,75,samudANByo yamo'granTe,samudāṅbhyo yamo'granthe,समुदाङ्भ्यो यमोऽग्रन्थे,no
